segment_id,customer_id,rfm_score,segment_name,recency_days,frequency,monetary_value,churn_risk,last_updated
92,92,72,Loyal,122,5,2916.74,Medium,2026-05-27 09:11:02
93,93,26,At Risk,276,2,1401.87,High,2026-05-27 09:11:02
94,94,92,Champion,48,8,4053.63,Low,2026-05-27 09:11:02
95,95,72,Loyal,85,5,3045.88,Low,2026-05-27 09:11:02
96,96,38,At Risk,455,3,1446.97,High,2026-05-27 09:11:02
97,97,20,At Risk,563,1,105.85,High,2026-05-27 09:11:02
98,98,68,Loyal,58,3,2699.47,Low,2026-05-27 09:11:02
99,99,58,Potential,24,2,1824.96,Low,2026-05-27 09:11:02
100,100,50,Potential,421,4,2923.36,High,2026-05-27 09:11:02
101,101,20,At Risk,439,1,1215.79,High,2026-05-27 09:11:02
102,102,58,Potential,171,5,2376.5,Medium,2026-05-27 09:11:02
103,103,100,Champion,25,7,4438.2,Low,2026-05-27 09:11:02
104,104,38,At Risk,357,3,1828.96,High,2026-05-27 09:11:02
105,105,44,Potential,65,2,609.44,Low,2026-05-27 09:11:02
106,106,84,Champion,94,7,5559.38,Medium,2026-05-27 09:11:02
107,107,42,Potential,144,2,1120.4,Medium,2026-05-27 09:11:02
108,108,56,Potential,285,5,3223.84,High,2026-05-27 09:11:02
109,109,20,At Risk,597,1,758.2,High,2026-05-27 09:11:02
110,110,48,Potential,102,2,1512.73,Medium,2026-05-27 09:11:02
111,111,32,At Risk,615,2,1324.94,High,2026-05-27 09:11:02
112,112,62,Loyal,321,5,4716.31,High,2026-05-27 09:11:02
113,113,42,Potential,85,2,1024.94,Low,2026-05-27 09:11:02
114,114,52,Potential,242,4,2487.86,High,2026-05-27 09:11:02
115,115,74,Loyal,64,5,2710.63,Low,2026-05-27 09:11:02
116,116,58,Potential,203,5,2346.97,High,2026-05-27 09:11:02
117,117,26,At Risk,637,2,1086.08,High,2026-05-27 09:11:02
118,118,52,Potential,172,4,2163.52,Medium,2026-05-27 09:11:02
119,119,32,At Risk,569,2,1643.77,High,2026-05-27 09:11:02
120,120,92,Champion,46,6,4480.72,Low,2026-05-27 09:11:02
