order_id,customer_id,order_date,total_amount
221,36,2026-01-18,268.02
222,70,2025-01-30,361.32
223,26,2026-05-27,897.56
224,81,2026-02-03,785.67
225,19,2025-11-04,915.87
226,29,2024-11-12,221.97
227,99,2024-12-10,602.55
228,112,2024-10-19,1358.24
229,53,2026-02-01,1299.31
230,20,2025-07-16,548.19
231,106,2026-01-20,1152.98
232,17,2025-05-13,874.59
233,103,2026-04-09,912.71
234,34,2024-11-21,190.22
235,59,2025-12-22,939.93
236,50,2025-06-10,1324.8
237,2,2024-10-21,472.07
238,108,2025-07-15,221.03
239,52,2025-11-08,387.78
240,98,2024-10-13,956.77
241,111,2024-07-13,306.9
242,82,2026-04-13,1584.62
243,88,2024-08-31,1297.19
244,45,2024-06-15,906.32
245,79,2025-05-11,505.1
246,48,2024-06-19,771.17
247,103,2026-05-02,189.37
248,31,2025-02-13,714.56
249,42,2024-11-08,1047.64
250,81,2025-09-05,750.74
251,73,2026-02-12,69.22
252,84,2024-11-12,1291.2
253,100,2025-03-20,407.3
254,94,2026-04-07,404.24
255,40,2026-05-17,436.76
256,66,2025-08-25,942.19
257,69,2024-12-16,1064.29
258,82,2025-11-16,653.91
259,61,2025-10-30,283.8
260,34,2025-03-22,1292.99
261,39,2025-03-25,892.92
262,72,2025-01-20,846.36
263,10,2025-05-29,492.75
264,46,2025-09-24,773.82
265,114,2025-08-30,328.49
266,19,2026-03-01,749.54
267,34,2024-12-09,873.89
268,59,2026-04-16,553.95
269,63,2025-10-27,1458.69
270,90,2026-05-20,237.83
271,34,2024-05-27,1056.84
272,56,2024-11-27,956.39
273,116,2025-08-01,120.54
274,61,2025-03-30,407.49
275,48,2025-09-24,818.01
276,70,2024-08-15,320.73
277,78,2026-04-14,469.46
278,112,2025-05-09,994.2
279,94,2026-04-09,161.52
280,66,2025-03-21,1609.27
281,25,2026-05-19,219.22
282,120,2026-04-11,381.89
283,3,2026-05-10,376.81
284,56,2025-10-22,311.2
285,7,2026-02-20,791.79
286,11,2024-05-31,1419.15
287,11,2025-03-02,440.11
288,16,2025-09-22,1155.41
289,96,2024-09-17,300.72
290,64,2024-09-04,702.71
291,40,2025-05-16,1010.45
292,120,2025-03-18,1584.36
293,65,2024-12-02,761.52
294,42,2025-06-03,424.23
295,120,2024-08-20,273.82
296,117,2024-08-28,879.38
297,95,2024-08-01,743.08
298,94,2026-02-24,226.86
299,75,2025-07-07,26.83
300,54,2024-05-31,931.91
301,108,2024-10-08,378.74
302,93,2025-08-24,243.88
303,36,2025-11-13,245.3
304,38,2026-04-21,1334.31
305,39,2024-11-24,1279.81
306,33,2026-05-01,443.06
307,96,2025-02-26,449.66
308,94,2026-01-17,285.19
309,77,2025-07-11,358.16
310,23,2026-03-06,386.4
311,65,2024-12-30,170.97
312,104,2025-06-04,126.58
313,67,2024-11-10,848.74
314,95,2026-03-03,932.21
315,82,2024-11-07,675.9
316,102,2025-09-15,323.04
317,21,2026-05-17,1802.14
318,66,2025-10-26,1180.61
319,22,2024-10-27,1120.2
320,2,2024-09-18,1026.03
321,53,2026-01-13,829.74
322,74,2026-03-20,365.66
323,30,2025-05-22,122.65
324,99,2026-05-03,1222.41
325,106,2024-08-09,1060.42
326,29,2024-05-31,138.96
327,44,2025-01-27,983.52
328,51,2025-04-02,533.48
329,78,2025-04-01,375.3
330,43,2025-12-05,120.76
331,106,2026-02-22,611.1
332,85,2024-09-04,513.08
333,120,2024-07-20,669.29
334,89,2025-04-16,157.26
335,31,2024-11-11,673.87
336,48,2025-07-30,161.52
337,39,2025-02-08,312.61
338,34,2024-12-29,548.46
339,79,2025-06-10,119.47
340,83,2024-10-06,818.66
341,64,2025-01-27,459.1
342,39,2025-07-28,907.8
343,20,2025-04-04,451.02
344,115,2024-06-19,638.7
345,13,2025-07-07,798.08
346,17,2024-12-21,596.62
347,28,2025-08-24,606.88
348,49,2025-11-12,512.91
349,35,2026-05-15,1025.98
350,29,2024-07-10,1286.93
351,40,2025-11-07,227.69
352,114,2025-09-27,119.58
353,41,2025-12-12,1014.96
354,69,2025-05-16,369.3
355,30,2025-12-15,385.71
356,54,2026-05-02,376.55
357,27,2024-06-20,310.85
358,76,2026-02-26,100.68
359,65,2026-02-01,484.35
360,21,2025-06-03,869.75
361,28,2026-04-08,535.92
362,103,2025-09-30,26.83
363,10,2024-10-14,126.58
364,116,2024-10-15,900.86
365,119,2024-11-04,1003.85
366,12,2026-03-04,890.58
367,54,2024-09-29,470.82
368,34,2025-08-02,417.36
369,19,2024-09-04,1408.7
370,19,2024-09-28,136.22
371,26,2025-05-19,341.41
372,95,2025-06-19,1315.46
373,37,2024-06-16,1091.09
374,76,2025-09-28,34.61
375,9,2024-11-15,1044.26
376,58,2025-05-31,246.41
377,11,2024-09-03,73.26
378,45,2025-08-06,255.32
379,78,2025-08-02,475.58
380,13,2024-09-10,1245.57
381,58,2025-06-20,179.51
382,52,2024-11-10,583.37
383,52,2024-07-23,131.8
384,18,2024-08-31,373.78
385,72,2024-07-11,341.94
386,106,2025-11-15,669.58
387,94,2025-11-01,837.94
388,21,2025-10-15,36.63
389,116,2025-11-05,271.66
390,96,2024-08-07,696.59
391,38,2025-11-03,1124.78
392,111,2024-09-19,1018.04
393,30,2024-06-03,188.35
394,48,2025-05-21,1014.33
395,54,2024-09-13,1263.87
396,30,2025-03-10,189.37
397,102,2025-01-25,668.14
398,4,2025-03-11,1784.7
399,40,2025-06-18,64.79
400,51,2026-04-01,844.06
401,107,2024-12-30,68.11
402,31,2025-05-12,419.52
403,42,2025-01-20,258.8
404,15,2025-07-20,445.58
405,91,2026-01-21,308.15
406,42,2024-07-14,63.29
407,82,2025-11-27,1069.0
408,73,2024-08-01,701.32
409,89,2025-10-09,622.34
410,73,2025-07-28,728.86
411,65,2026-05-02,892.92
412,72,2025-05-20,1067.92
413,42,2025-09-03,564.67
414,116,2025-01-04,727.17
415,69,2024-12-14,892.27
416,7,2025-12-06,361.32
417,29,2025-05-30,1005.03
418,33,2024-10-23,735.3
419,20,2025-12-22,239.66
420,92,2025-06-27,323.04
421,98,2024-08-21,546.41
422,108,2024-10-03,506.37
423,89,2026-02-14,802.98
424,14,2025-10-18,1562.46
425,71,2024-09-14,470.87
426,80,2025-03-28,502.14
427,59,2025-09-17,652.74
428,118,2025-12-06,786.26
429,44,2026-02-02,778.53
430,55,2024-09-12,683.31
431,50,2025-04-26,584.1
432,68,2025-07-06,676.89
433,101,2025-03-14,1215.79
434,43,2025-10-04,1720.42
435,6,2024-10-30,1017.29
436,50,2025-02-08,700.82
437,39,2024-07-22,1182.04
438,17,2024-09-29,592.6
439,92,2025-03-06,79.78
440,49,2025-10-30,764.8
441,28,2025-01-01,438.74
442,39,2026-02-18,1541.5
443,100,2025-04-01,1051.23
444,45,2024-09-02,770.71
445,17,2026-05-27,60.38
446,56,2025-08-24,1115.2
447,113,2026-03-03,820.34
448,58,2025-05-03,498.94
449,94,2025-12-31,1101.84
450,29,2024-08-23,1041.86
451,112,2025-07-10,473.77
452,72,2026-02-08,520.41
453,14,2025-04-19,1012.97
454,69,2024-11-13,250.25
455,59,2025-01-21,405.14
456,33,2025-08-22,519.62
457,115,2025-06-03,69.22
458,12,2026-03-30,1041.31
459,69,2026-05-19,888.27
460,4,2024-06-18,424.16
461,118,2024-12-02,259.4
462,47,2025-05-17,190.52
463,54,2024-10-06,1215.6
464,4,2025-10-01,968.74
465,42,2025-10-22,863.85
466,103,2026-03-05,302.04
467,74,2026-02-25,61.04
468,104,2024-12-18,1398.52
469,9,2026-01-24,1438.83
470,6,2024-10-06,1114.78
471,43,2025-09-28,1013.25
472,87,2024-07-30,699.03
473,102,2025-12-07,541.7
474,67,2026-01-13,1425.47
475,42,2026-04-27,569.81
476,91,2025-12-15,1246.16
477,20,2024-11-29,1500.87
478,53,2026-02-24,1520.04
479,34,2026-02-28,170.97
480,52,2025-03-31,1115.74
481,61,2025-07-14,676.63
482,85,2024-12-21,905.66
483,25,2026-04-26,834.83
484,116,2024-12-17,326.74
485,20,2025-07-28,79.78
486,61,2024-08-21,361.32
487,88,2025-09-12,238.52
488,51,2025-12-13,1104.88
489,47,2024-05-30,929.71
490,109,2024-10-07,758.2
491,38,2026-04-21,661.24
492,15,2024-11-02,332.27
493,32,2025-03-27,328.45
494,42,2025-11-14,216.73
495,95,2025-02-13,34.61
496,77,2025-12-01,1000.61
497,6,2025-06-24,389.49
498,71,2026-03-20,944.05
499,14,2024-11-19,302.04
500,39,2026-05-06,938.89
